tag,id,min_letter_mass,missing_letter_entries
granite4_small_base,101,0.9848999999999999,0
granite4_small_base,102,0.9731000000000001,0
granite4_small_base,103,0.9786999999999999,0
granite4_small_base,104,0.9632,0
granite4_small_base,105,0.9796,0
granite4_small_base,106,0.9873000000000001,0
granite4_small_base,107,0.973,0
granite4_small_base,108,0.9804999999999999,0
granite4_small_base,109,0.9717,0
granite4_small_base,110,0.9843999999999999,0
granite4_small_base,111,0.9885,0
granite4_small_base,112,0.9847,0
granite4_small_base,113,0.9861000000000001,0
granite4_small_base,114,0.9947,0
granite4_small_base,115,0.9850000000000001,0
granite4_small_base,116,0.9802,0
granite4_small_base,117,0.9836999999999999,0
granite4_small_base,118,0.9746,0
granite4_small_base,119,0.9757999999999999,0
granite4_small_base,120,0.9758,0
granite4_small_base,121,0.9561999999999999,0
granite4_small_base,122,0.9645,0
granite4_small_base,123,0.9609999999999999,0
granite4_small_base,124,0.9672000000000001,0
granite4_small_base,125,0.969,0
granite4_small_base,126,0.978,0
granite4_small_base,127,0.956,0
granite4_small_base,128,0.9595,0
granite4_small_base,201,0.9747999999999999,0
granite4_small_base,202,0.9823999999999999,0
granite4_small_base,203,0.9709,0
granite4_small_base,204,0.9814,0
granite4_small_base,205,0.9887,0
granite4_small_base,206,0.9459,0
granite4_small_base,207,0.9638,0
granite4_small_base,208,0.9889000000000001,0
granite4_small_base,209,0.9842,0
granite4_small_base,210,0.9808,0
granite4_small_base,211,0.9791000000000001,0
granite4_small_base,212,0.9774999999999999,0
granite4_small_base,213,0.9832000000000001,0
granite4_small_base,214,0.9689,0
granite4_small_base,215,0.9792,0
granite4_small_base,216,0.9729,0
granite4_small_base,217,0.9811,0
granite4_small_base,218,0.9837,0
granite4_small_base,219,0.9684,0
granite4_small_base,220,0.9623,0
granite4_small_base,221,0.9821,0
granite4_small_base,222,0.9873,0
granite4_small_base,223,0.9738,0
granite4_small_base,224,0.9769000000000001,0
granite4_small_base,225,0.9728,0
granite4_small_base,226,0.9779,0
granite4_small_base,227,0.9755999999999999,0
granite4_small_base,228,0.9802000000000001,0
granite4_small_base,229,0.9848000000000001,0
granite4_small_base,230,0.9823,0
granite4_small_base,301,0.9844999999999999,0
granite4_small_base,302,0.9884,0
granite4_small_base,303,0.9892000000000001,0
granite4_small_base,304,0.9908000000000001,0
granite4_small_base,305,0.9845999999999999,0
granite4_small_base,306,0.9857999999999999,0
granite4_small_base,307,0.9901,0
granite4_small_base,308,0.9857,0
granite4_small_base,309,0.9861,0
granite4_small_base,310,0.9916,0
granite4_small_base,311,0.9940999999999999,0
granite4_small_base,312,0.9924999999999999,0
granite4_small_base,313,0.9843999999999999,0
granite4_small_base,314,0.9865,0
granite4_small_base,315,0.9787000000000001,0
granite4_small_base,316,0.9801,0
granite4_small_base,317,0.9742,0
granite4_small_base,318,0.9897,0
granite4_small_base,319,0.9850000000000001,0
granite4_small_base,320,0.9906000000000001,0
granite4_small_base,321,0.9818,0
granite4_small_base,322,0.9743999999999999,0
granite4_small_base,323,0.9881,0
granite4_small_base,324,0.9911999999999999,0
granite4_small_base,325,0.9844,0
granite4_small_base,326,0.9917,0
granite4_small_base,327,0.9831,0
granite4_small_base,328,0.9817,0
granite4_small_base,329,0.9908,0
granite4_small_base,330,0.9944,0
ling_mini_base,1,0.9935999999999999,0
ling_mini_base,2,0.9932,0
ling_mini_base,3,0.994,0
ling_mini_base,4,0.9952000000000001,0
ling_mini_base,6,0.9957999999999999,0
ling_mini_base,8,0.9954999999999999,0
ling_mini_base,9,0.9961,0
ling_mini_base,10,0.9955999999999999,0
ling_mini_base,11,0.9946999999999999,0
ling_mini_base,14,0.9951,0
ling_mini_base,15,0.9954,0
ling_mini_base,16,0.9965999999999999,0
ling_mini_base,17,0.9929999999999999,0
ling_mini_base,19,0.9966000000000002,0
ling_mini_base,22,0.9963,0
ling_mini_base,23,0.9966,0
ling_mini_base,24,0.9949,0
ling_mini_base,25,0.9960000000000001,0
ling_mini_base,27,0.9953000000000001,0
ling_mini_base,28,0.996,0
ling_mini_base,29,0.9938,0
ling_mini_base,30,0.9888,0
ling_mini_base,31,0.9901,0
ling_mini_base,32,0.9873,0
ling_mini_base,33,0.9948,0
ling_mini_base,34,0.9947,0
ling_mini_base,35,0.9943,0
ling_mini_base,36,0.9910000000000001,0
ling_mini_base,37,0.9937,0
ling_mini_base,38,0.9954999999999999,0
ling_mini_base,39,0.9914000000000001,0
ling_mini_base,40,0.9925999999999999,0
ling_mini_base,41,0.9958,0
ling_mini_base,42,0.9928,0
ling_mini_base,43,0.9935,0
ling_mini_base,44,0.9951,0
ling_mini_base,45,0.9952,0
ling_mini_base,46,0.9944,0
ling_mini_base,47,0.995,0
ling_mini_base,48,0.9964,0
ling_mini_base,49,0.9941,0
ling_mini_base,50,0.9938,0
ling_mini_base,51,0.996,0
ling_mini_base,52,0.9929,0
ling_mini_base,53,0.996,0
ling_mini_base,54,0.9963,0
ling_mini_base,55,0.993,0
ling_mini_base,56,0.9932000000000001,0
